 ,2016
"053 Coolrain, Co. Laois",47301
"054 Dangans, Co. Laois",37121
"055 Emo, Co. Laois",45241
"056 Garrymore, Co. Laois",50151
"057 Graigue, Co. Laois",33693
"058 Jamestown, Co. Laois",43643
"059 Kilcolmanbane, Co. Laois",42863
"060 Kilmullen, Co. Laois",47395
"061 Kilmurry, Co. Laois",39708
"062 Lacka, Co. Laois",26269
"063 Marymount, Co. Laois",36681
"064 Meelick, Co. Laois",26449
"065 Mountmellick Rural, Co. Laois",42647
"066 Mountmellick Urban, Co. Laois",35656
"067 Mountrath, Co. Laois",34395
"068 Nealstown, Co. Laois",..
"069 O'More's Forest, Co. Laois",39961
"070 Portarlington South, Co. Laois",38450
"071 Portlaoighise (Maryborough) Rural, Co. Laois",38220
"072 Portlaoighise (Maryborough) Urban, Co. Laois",32807
"073 Rearymore, Co. Laois",..
"074 Rosenallis, Co. Laois",46801
"075 Sallyford, Co. Laois",44862
"076 Shaen, Co. Laois",42032
"077 Tinnahinch, Co. Laois",37900
"078 Trumra, Co. Laois",36962
"079 Ballybrophy, Co. Laois",40806
"080 Borris-in-Ossory, Co. Laois",33980
"081 Clonmore, Co. Laois",45384
"082 Errill, Co. Laois",36764
"083 Kyle, Co. Laois",..
"084 Kyle South, Co. Laois",40233
"085 Moneenalassa, Co. Laois",37643
"086 Moneymore, Co. Laois",31414
"087 Rathsaran, Co. Laois",39442
"088 Ardough, Co. Laois",44285
"089 Arless, Co. Laois",43963
"090 Ballickmoyler, Co. Laois",37589
"091 Ballylehane, Co. Laois",39833
"092 Doonane, Co. Laois",32147
"093 Farnans, Co. Laois",45625
"094 Graigue Rural, Co. Laois",38940
"095 Newtown, Co. Laois",35035
"096 Rossmore, Co. Laois",56147
"097 Shrule, Co. Laois",36244
"098 Turra, Co. Laois",35788
"001 Longford No. 1 Urban, Co. Longford",25947
"002 Longford No. 2 Urban, Co. Longford",39239
"003 Agharra, Co. Longford",49467
"004 Ballymahon, Co. Longford",33193
"005 Cashel East, Co. Longford",36035
"006 Cashel West, Co. Longford",35253
"007 Doory, Co. Longford",26469
"008 Forgney, Co. Longford",44903
"009 Foxhall, Co. Longford",34723
"010 Kilcommock, Co. Longford",41421
"011 Kilglass, Co. Longford",39125
"012 Ledwithstown, Co. Longford",34223
"013 Abbeylara, Co. Longford",37927
"014 Ballinalee, Co. Longford",35468
"015 Ballymuigh, Co. Longford",47154
"016 Bunlahy, Co. Longford",31128
"017 Columbkille, Co. Longford",31475
"018 Coolamber, Co. Longford",40459
"019 Creevy, Co. Longford",36661
"020 Crosagstown, Co. Longford",..
"021 Currygrane, Co. Longford",..
"022 Dalystown, Co. Longford",..
"023 Drummeel, Co. Longford",..
999 Firry / Newgrove,54464
"025 Gelshagh, Co. Longford",39583
"026 Granard Rural, Co. Longford",30966
"027 Granard Urban, Co. Longford",33114
"028 Knockanbaun, Co. Longford",..
"029 Lislea, Co. Longford",..
"030 Meathas Truim, Co. Longford",33162
"031 Milltown, Co. Longford",34200
"032 Moatfarrell, Co. Longford",41270
"033 Moyne, Co. Longford",42800
"034 Mullanalaghta, Co. Longford",44908
"036 Sonnagh, Co. Longford",35600
"037 Aghaboy, Co. Longford",42441
"038 Ardagh East, Co. Longford",45831
"039 Ardagh West, Co. Longford",41072
"040 Ballinamuck East, Co. Longford",36967
"041 Ballinamuck West, Co. Longford",33119
"042 Breanrisk, Co. Longford",34279
"043 Caldragh, Co. Longford",42779
"044 Cloondara, Co. Longford",40184
"045 Cloonee, Co. Longford",41994
"046 Corboy, Co. Longford",49006
"047 Drumgort, Co. Longford",33588
"048 Drumlish, Co. Longford",35184
"049 Killashee, Co. Longford",36558
"050 Killoe, Co. Longford",36507
"051 Longford Rural (Part Urban), Co. Longford",33841
"052 Mountdavis, Co. Longford",48755
"053 Moydow, Co. Longford",45495
"054 Newtown Forbes, Co. Longford",25636
"055 Rathcline, Co. Longford",40713
"001 Fair Gate, Co. Louth",32600
"002 St. Laurence Gate, Co. Louth",42944
"003 West Gate, Co. Louth",36669
"004 Dundalk Urban No. 1, Co. Louth",34583
"005 Dundalk Urban No. 2, Co. Louth",30924
"006 Dundalk Urban No. 3, Co. Louth",36000
"007 Dundalk Urban No. 4, Co. Louth",40281
"008 Ardee Rural, Co. Louth",39111
"009 Ardee Urban, Co. Louth",34821
"010 Castlebellingham, Co. Louth",45141
"011 Clonkeen, Co. Louth",46192
"012 Collon, Co. Louth",41100
"013 Dromin, Co. Louth",43787
"014 Dromiskin, Co. Louth",45855
"015 Drumcar, Co. Louth",39124
"016 Dunleer, Co. Louth",39290
"017 Stabannan, Co. Louth",45299
"018 Tallanstown, Co. Louth",39526
"019 Ballymascanlan, Co. Louth",44877
"020 Barronstown, Co. Louth",42574
"021 Carlingford, Co. Louth",44345
"022 Castlering, Co. Louth",53279
"023 Castletown (Part Urban), Co. Louth",37049
"024 Creggan Upper, Co. Louth",34220
"025 Darver, Co. Louth",44536
"026 Drummullagh, Co. Louth",49268
"027 Dundalk Rural (Part Urban), Co. Louth",38407
"028 Faughart, Co. Louth",54003
"029 Greenore, Co. Louth",42770
"030 Haggardstown (Part Urban), Co. Louth",48782
"031 Jenkinstown, Co. Louth",46635
"032 Killanny, Co. Louth",33133
"033 Louth, Co. Louth",43742
"034 Mansfieldstown, Co. Louth",35936
"035 Rathcor, Co. Louth",33444
"036 Ravensdale, Co. Louth",54647
"037 Clogher, Co. Louth",42183
"038 Dysart, Co. Louth",51705
"039 Monasterboice, Co. Louth",50527
"040 Mullary, Co. Louth",43936
"041 St. Peter's (Part Urban), Co. Louth",40433
"042 Termonfeckin, Co. Louth",45838
"047 St. Mary's (Part Urban), Co. Louth",44490
"001 Ceannanus Mór (Kells) Urban, Co. Meath",32511
"002 Navan Urban, Co. Meath",33846
"003 Trim Urban, Co. Meath",32928
"004 Drumcondra, Co. Meath",34540
"005 Grangegeeth, Co. Meath",46500
"006 Killary, Co. Meath",38218
"007 Culmullin, Co. Meath",47566
"008 Donaghmore, Co. Meath",39917
"009 Dunboyne, Co. Meath",43604
"010 Dunshaughlin, Co. Meath",44278
"011 Kilbrew, Co. Meath",40276
"012 Killeen, Co. Meath",44631
"013 Kilmessan, Co. Meath",41452
"014 Kilmore, Co. Meath",42483
"015 Rathfeigh, Co. Meath",45455
"016 Ratoath, Co. Meath",47568
"017 Rodanstown, Co. Meath",48061
"018 Skreen, Co. Meath",45793
"019 Ardagh, Co. Meath",36970
"020 Ballinlough, Co. Meath",33112
"021 Balrathboyne, Co. Meath",46870
"022 Boherboy, Co. Meath",39134
"023 Burry, Co. Meath",34801
"024 Carrickleck, Co. Meath",38127
"025 Castlekeeran, Co. Meath",33800
"026 Ceannanus Mór (Kells) Rural (Part Urban), Co. Meath",36099
"027 Cruicetown, Co. Meath",30789
"028 Girley, Co. Meath",48862
"029 Kilmainham, Co. Meath",32780
"030 Kilskeer, Co. Meath",46686
"031 Loughan, Co. Meath",42675
"032 Maperath, Co. Meath",48637
"033 Martry, Co. Meath",37275
"034 Moybolgue, Co. Meath",30764
"035 Moynalty, Co. Meath",37518
"036 Newcastle, Co. Meath",35700
"037 Newtown, Co. Meath",35150
"038 Nobber, Co. Meath",34443
"039 Posseckstown, Co. Meath",43209
"040 Staholmog, Co. Meath",39058
"041 Tailtin, Co. Meath",36431
"042 Trohanny, Co. Meath",35527
"043 Ardcath, Co. Meath",34259
"044 Duleek, Co. Meath",39450
"045 Julianstown, Co. Meath",41804
"046 Mellifont, Co. Meath",54064
"047 St. Mary's (Part Rural), Co. Meath",43171
"048 Stamullin, Co. Meath",43608
"049 Ardbraccan, Co. Meath",40174
"050 Ardmulchan, Co. Meath",42885
"051 Bective, Co. Meath",57485
"052 Castletown, Co. Meath",38933
"053 Domhnach Phádraig, Co. Meath",41040
"054 Kentstown, Co. Meath",41644
"055 Navan Rural (Part Urban), Co. Meath",39096
"056 Painestown, Co. Meath",43232
"057 Rathkenny, Co. Meath",36456
"058 Slane, Co. Meath",47902
"059 Stackallan, Co. Meath",41099
"060 Tara, Co. Meath",45793
"061 Crossakeel, Co. Meath",39745
"062 Crosskeys, Co. Meath",45075
"063 Killallon, Co. Meath",46306
"064 Killeagh, Co. Meath",36070
"065 Knocklough, Co. Meath",35716
"066 Moylagh, Co. Meath",33932
"067 Oldcastle, Co. Meath",35179
"068 Stonefield, Co. Meath",34429
"069 Ardnamullan, Co. Meath",36341
"070 Baile Átha Buí, Co. Meath",35965
"071 Ballyboggan, Co. Meath",38021
"072 Ballyconnell, Co. Meath",40715
"073 Castlejordan, Co. Meath",34411
"074 Castlerickard, Co. Meath",40535
"075 Cloghbrack, Co. Meath",36749
"076 Clonmacduff, Co. Meath",39326
"077 Gallow, Co. Meath",38448
"078 Galtrim, Co. Meath",42402
"079 Grennanstown, Co. Meath",41666
"080 Hill of Down, Co. Meath",35578
"081 Innfield, Co. Meath",43255
"082 Cill Bhríde, Co. Meath",47040
"083 Kilcooly, Co. Meath",47998
"084 Kildalky, Co. Meath",41604
"085 Killaconnigan, Co. Meath",35460
"086 Killyon, Co. Meath",37471
"087 Laracor, Co. Meath",42516
"088 Rahinstown, Co. Meath",50555
"089 Rathmolyon, Co. Meath",39625
"090 An Ráth Mhór, Co. Meath",43501
"091 Summerhill, Co. Meath",43234
"092 Trim Rural (Part Urban), Co. Meath",43846
"001 Birr Urban, Co. Offaly",38730
"002 Tullamore Urban, Co. Offaly",40125
"003 Ballycumber, Co. Offaly",38005
"004 Banagher, Co. Offaly",35774
"005 Birr Rural, Co. Offaly",36478
"006 Broughal, Co. Offaly",..
"007 Cloghan, Co. Offaly",35969
"008 Clonmacnoise, Co. Offaly",37469
"009 Derrinboy, Co. Offaly",35977
"010 Derryad, Co. Offaly",45674
"011 Doon, Co. Offaly",35356
"012 Dromoyle, Co. Offaly",32973
"013 Drumcullen, Co. Offaly",42961
"014 Eglish, Co. Offaly",..
"015 Ferbane, Co. Offaly",38201
"016 Gallen, Co. Offaly",31414
"017 Hinds, Co. Offaly",32754
"018 Huntston, Co. Offaly",39356
"019 Kilcolman, Co. Offaly",46618
"020 Kilcormac, Co. Offaly",37475
"021 Killyon, Co. Offaly",46048
"022 Kinnitty, Co. Offaly",34297
"023 Knockbarron, Co. Offaly",37551
"024 Lea, Co. Offaly",34762
"025 Letter, Co. Offaly",..
"026 Lumcloon, Co. Offaly",36338
"027 Lusmagh, Co. Offaly",38410
"028 Mounterin, Co. Offaly",38969
"029 Moyclare, Co. Offaly",47500
"030 Seirkieran, Co. Offaly",37330
"031 Shannonbridge, Co. Offaly",37769
"032 Shannonharbour, Co. Offaly",33615
"033 Srah, Co. Offaly",29276
"035 Ballyburly, Co. Offaly",35471
"036 Ballymacwilliam, Co. Offaly",39549
"037 Bracknagh, Co. Offaly",40624
"038 Clonbulloge, Co. Offaly",39511
"039 Clonmore, Co. Offaly",38895
"040 Croghan, Co. Offaly",31189
"041 Edenderry Rural, Co. Offaly",41098
"042 Edenderry Urban, Co. Offaly",35261
999 Esker / Ballaghassaan,43003
"044 Knockdrin, Co. Offaly",35686
"045 Monasteroris, Co. Offaly",48774
"046 Aghancon, Co. Offaly",35239
"047 Ballincor, Co. Offaly",49275
"048 Barna, Co. Offaly",..
"049 Cangort, Co. Offaly",..
"050 Cullenwaine, Co. Offaly",45313
"051 Dunkerrin, Co. Offaly",35460
"052 Ettagh, Co. Offaly",37809
"053 Gorteen, Co. Offaly",46745
"054 Mountheaton, Co. Offaly",38581
"055 Roscomroe, Co. Offaly",..
"056 Shinrone, Co. Offaly",36466
"057 Templeharry, Co. Offaly",34921
"058 Tulla, Co. Offaly",..
"059 Ballycommon, Co. Offaly",35331
"060 Ballyshear, Co. Offaly",47905
"061 Bawn, Co. Offaly",33364
"062 Cappancur, Co. Offaly",44485
"063 Clara, Co. Offaly",40234
"064 Clonygowan, Co. Offaly",41984
"065 Daingean, Co. Offaly",34339
"066 Derrycooley, Co. Offaly",33694
"067 Durrow, Co. Offaly",44368
"068 Geashill, Co. Offaly",37738
"069 Gorteen, Co. Offaly",39266
"070 Hammerlane, Co. Offaly",44210
"071 Kilclonfert, Co. Offaly",39250
"072 Kilcumreragh, Co. Offaly",34855
"073 Killeigh, Co. Offaly",36823
"074 Killooly, Co. Offaly",39585
"075 Killoughy, Co. Offaly",31990
"076 Mountbriscoe, Co. Offaly",41630
"077 O'Dempsey, Co. Offaly",27589
"078 Portarlington North, Co. Offaly",37273
"079 Rahan, Co. Offaly",28530
"080 Raheenakeeran, Co. Offaly",35353
"081 Rathfeston, Co. Offaly",38746
"082 Rathrobin, Co. Offaly",39166
"083 Screggan, Co. Offaly",49075
"084 Silverbrook, Co. Offaly",43180
"085 Tinamuck, Co. Offaly",38876
"086 Tinnycross, Co. Offaly",39994
"087 Tullamore Rural, Co. Offaly",37500
"001 Athlone East Urban, Co. Westmeath",37309
"002 Athlone West Urban, Co. Westmeath",35940
"003 Athlone East Rural (Part Urban), Co. Westmeath",38144
"004 Auburn, Co. Westmeath",36969
"005 Ballybroder, Co. Westmeath",48900
"006 Bellanalack, Co. Westmeath",42888
"007 Carn, Co. Westmeath",44472
"008 Castledaly, Co. Westmeath",48437
"009 Glassan, Co. Westmeath",54831
"010 Kilcumreragh, Co. Westmeath",35040
"011 Killinure, Co. Westmeath",42954
"012 Moate, Co. Westmeath",42970
"013 Mount Temple, Co. Westmeath",52053
"014 Moydrum (Part Urban), Co. Westmeath",50415
"015 Muckanagh, Co. Westmeath",32004
"016 Tubbrit, Co. Westmeath",41769
"017 Umma, Co. Westmeath",40212
"018 Ardnagragh, Co. Westmeath",34676
"019 Ballymore, Co. Westmeath",40842
"020 Doonis, Co. Westmeath",50728
"021 Drumraney, Co. Westmeath",40472
"022 Noughaval, Co. Westmeath",38946
"023 Piercetown, Co. Westmeath",..
"024 Templepatrick, Co. Westmeath",44430
"025 Winetown, Co. Westmeath",..
"026 Boherquill, Co. Westmeath",37667
"027 Coole, Co. Westmeath",34267
"028 Coolure, Co. Westmeath",35115
"029 Finnea, Co. Westmeath",37184
"030 Glore, Co. Westmeath",35847
"031 Knockarrow, Co. Westmeath",..
"032 Rathowen, Co. Westmeath",31573
"033 Street, Co. Westmeath",37862
"034 Ballinlough, Co. Westmeath",40769
"035 Ballyhealy, Co. Westmeath",41156
"036 Ballynaskeagh, Co. Westmeath",43540
"037 Bracklin, Co. Westmeath",43501
"038 Clonarney, Co. Westmeath",37084
"039 Collinstown, Co. Westmeath",38280
"040 Copperalley, Co. Westmeath",41686
"041 Delvin, Co. Westmeath",39451
"042 Faughalstown, Co. Westmeath",31078
"043 Fore East, Co. Westmeath",36538
"044 Fore West, Co. Westmeath",46326
"045 Hilltown, Co. Westmeath",49636
"046 Kilcumny, Co. Westmeath",35880
"047 Killua, Co. Westmeath",39005
"048 Killulagh, Co. Westmeath",37639
"049 Kilpatrick, Co. Westmeath",41040
"050 Kinturk, Co. Westmeath",35089
"051 Riverdale, Co. Westmeath",45011
"052 Rosmead, Co. Westmeath",33550
"053 Ardnaglew, Co. Westmeath",46717
999 Ballinalack / Lackan,37616
"055 Ballykilmore, Co. Westmeath",42711
"056 Ballymorin, Co. Westmeath",44708
"057 Ballynagore, Co. Westmeath",39821
"058 Belvidere, Co. Westmeath",42083
"059 Carrick, Co. Westmeath",47896
"060 Castle, Co. Westmeath",56117
"061 Castlelost, Co. Westmeath",37870
"062 Castletown, Co. Westmeath",39653
"063 Churchtown, Co. Westmeath",51586
"064 Cloghan, Co. Westmeath",44353
"065 Clonfad, Co. Westmeath",45714
"066 Clonlost, Co. Westmeath",40358
"067 Derrymore, Co. Westmeath",47653
"068 Dysart, Co. Westmeath",41889
"069 Emper, Co. Westmeath",36809
"070 Enniscoffey, Co. Westmeath",46148
"071 Gaybrook, Co. Westmeath",39560
"072 Glenlough, Co. Westmeath",39236
"073 Greenpark, Co. Westmeath",51571
"074 Griffinstown, Co. Westmeath",46036
"075 Heathstown, Co. Westmeath",45834
"076 Hopestown, Co. Westmeath",43999
"077 Huntingdon, Co. Westmeath",36677
"078 Jamestown, Co. Westmeath",..
"079 Kilbeggan, Co. Westmeath",39773
"080 Kilbixy, Co. Westmeath",29430
"081 Killare, Co. Westmeath",41322
"082 Killucan, Co. Westmeath",42719
"083 Kinnegad, Co. Westmeath",37527
"084 Knockdrin, Co. Westmeath",41575
"086 Lauree, Co. Westmeath",50785
"087 Middleton, Co. Westmeath",43102
"088 Milltown, Co. Westmeath",45890
"089 Mullingar Rural, Co. Westmeath",42935
"090 Mullingar North Urban, Co. Westmeath",35243
"091 Mullingar South Urban, Co. Westmeath",44470
"092 Multyfarnham, Co. Westmeath",54903
"093 Newtown, Co. Westmeath",50469
"094 Owel, Co. Westmeath",43626
"095 Portloman, Co. Westmeath",31106
"096 Raharney, Co. Westmeath",41899
"097 Rahugh, Co. Westmeath",51440
"098 Rathconrath, Co. Westmeath",45424
"099 Russellstown, Co. Westmeath",42331
"100 Skeagh, Co. Westmeath",..
"101 Sonna, Co. Westmeath",37086
"102 Stonehall, Co. Westmeath",..
"103 Streamstown, Co. Westmeath",36579
"104 Taghmon, Co. Westmeath",41025
"105 Tullaghan, Co. Westmeath",36274
"106 Woodland, Co. Westmeath",43826
"001 Enniscorthy Urban, Co. Wexford",29713
"002 New Ross Urban, Co. Wexford",30501
"003 Rosbercon Urban, Co. Wexford",32468
"004 Wexford No. 1 Urban, Co. Wexford",31461
"005 Wexford No. 2 Urban, Co. Wexford",28254
"006 Wexford No. 3 Urban, Co. Wexford",24485
"007 Ballindaggan, Co. Wexford",36529
"008 Ballycarney, Co. Wexford",36087
"009 Ballyhoge, Co. Wexford",43266
"010 Ballyhuskard, Co. Wexford",41693
"011 Ballymore, Co. Wexford",31961
"012 Ballyvaldon, Co. Wexford",32863
"013 Bolaboy, Co. Wexford",36363
"014 Bree, Co. Wexford",42494
"015 Castleboro, Co. Wexford",41032
"016 Castledockrell, Co. Wexford",29610
"017 Castle Ellis, Co. Wexford",34451
"018 Castle Talbot, Co. Wexford",34901
"019 Clonroche, Co. Wexford",34122
"020 Edermine, Co. Wexford",40833
"021 Enniscorthy Rural (Part Urban), Co. Wexford",35823
"022 Ferns, Co. Wexford",28786
"023 Kilbora, Co. Wexford",41691
"024 Kilcormick, Co. Wexford",37181
"025 Killann, Co. Wexford",37516
"026 Kilmallock, Co. Wexford",33026
"027 Killoughrum, Co. Wexford",43917
"028 Kilrush, Co. Wexford",34000
"029 Kiltealy, Co. Wexford",38761
"030 Marshalstown, Co. Wexford",37744
"031 Moyacomb, Co. Wexford",46015
"032 Newtownbarry, Co. Wexford",33947
"033 Rossard, Co. Wexford",37409
"034 St. Mary's, Co. Wexford",35463
"035 The Harrow, Co. Wexford",38553
"036 The Leap, Co. Wexford",39826
"037 Tinnacross, Co. Wexford",33265
"038 Tombrack, Co. Wexford",34507
"039 Ardamine, Co. Wexford",35968
"040 Balloughter, Co. Wexford",46285
"041 Ballybeg, Co. Wexford",34582
"042 Ballycanew, Co. Wexford",35494
"043 Ballyellis, Co. Wexford",45142
"044 Ballygarrett, Co. Wexford",37053
"045 Ballylarkin, Co. Wexford",36000
"046 Ballynestragh, Co. Wexford",46700
"047 Cahore, Co. Wexford",37547
"048 Coolgreany, Co. Wexford",38759
"049 Courtown, Co. Wexford",43129
"050 Ford, Co. Wexford",38151
"051 Gorey Rural, Co. Wexford",38745
"052 Gorey Urban, Co. Wexford",38004
"053 Huntingtown, Co. Wexford",39182
"054 Kilcomb, Co. Wexford",42050
"055 Kilgorman, Co. Wexford",46074
"056 Killenagh, Co. Wexford",42176
"057 Killincooly, Co. Wexford",33043
"058 Kilnahue, Co. Wexford",39999
"059 Limerick, Co. Wexford",37656
"060 Monamolin, Co. Wexford",35807
"061 Monaseed, Co. Wexford",36137
"062 Rossminoge, Co. Wexford",33441
"063 Wells, Co. Wexford",28349
"064 Wingfield, Co. Wexford",37307
"065 Adamstown, Co. Wexford",35880
"066 Ballyanne, Co. Wexford",40304
"067 Ballyhack, Co. Wexford",34773
"068 Barrack Village, Co. Wexford",..
"069 Barronstown, Co. Wexford",33864
"070 Carnagh, Co. Wexford",40082
"071 Carrickbyrne, Co. Wexford",39095
"072 Clongeen, Co. Wexford",33666
"073 Clonleigh, Co. Wexford",38766
"074 Dunmain, Co. Wexford",34210
"075 Fethard, Co. Wexford",35795
"076 Horetown, Co. Wexford",38896
"077 Inch, Co. Wexford",33894
"078 Kilgarvan, Co. Wexford",45837
"079 Killesk, Co. Wexford",37125
"080 Kilmokea, Co. Wexford",36498
"081 Newbawn, Co. Wexford",24429
"082 New Ross Rural, Co. Wexford",33605
"083 Oldcourt, Co. Wexford",40911
"084 Old Ross, Co. Wexford",32360
"085 Rathroe, Co. Wexford",44291
"086 Rochestown, Co. Wexford",37388
"087 Templeludigan, Co. Wexford",43088
"088 Templetown, Co. Wexford",38793
"089 Tintern, Co. Wexford",36277
"090 Whitechurch, Co. Wexford",34899
"091 Whitemoor, Co. Wexford",36367
"092 Ardcavan, Co. Wexford",42281
"093 Ardcolm, Co. Wexford",32515
"094 Artramon, Co. Wexford",47307
"095 Aughwilliam, Co. Wexford",42984
"096 Ballymitty, Co. Wexford",32000
"097 Bannow, Co. Wexford",34460
"098 Bridgetown, Co. Wexford",31962
"099 Carrick, Co. Wexford",43886
"100 Drinagh, Co. Wexford",41033
"101 Duncormick, Co. Wexford",26079
"102 Forth, Co. Wexford",41046
"103 Glynn, Co. Wexford",..
"104 Harperstown, Co. Wexford",34529
"105 Harristown, Co. Wexford",38964
"106 Kilbride, Co. Wexford",..
"107 Kilcowan, Co. Wexford",41945
"108 Killag, Co. Wexford",38621
"109 Killinick, Co. Wexford",37653
"110 Killurin, Co. Wexford",44024
"111 Kilmore, Co. Wexford",37536
"112 Kilpatrick, Co. Wexford",43901
"113 Kilscoran, Co. Wexford",42426
"114 Lady's Island, Co. Wexford",26891
"115 Mayglass, Co. Wexford",37331
"116 Newcastle, Co. Wexford",33504
"117 Rathaspick, Co. Wexford",45745
"118 Rosslare, Co. Wexford",44322
"119 St. Helen's, Co. Wexford",37758
"120 Tacumshin, Co. Wexford",33811
"121 Taghmon, Co. Wexford",35475
"122 Tomhaggard, Co. Wexford",32403
"123 Wexford Rural (Part Urban), Co. Wexford",36432
"124 Whitechurch, Co. Wexford",34405
"001 Arklow No. 1 Urban, Co. Wicklow",36773
"002 Arklow No. 2 Urban, Co. Wicklow",41852
"003 Bray No. 1, Co. Wicklow",33621
"004 Bray No. 2, Co. Wicklow",47805
"005 Bray No. 3, Co. Wicklow",39633
"006 Rathmichael (Bray), Co. Wicklow",30778
"007 Wicklow Urban, Co. Wicklow",40459
"008 Ballinguile, Co. Wicklow",44157
"009 Baltinglass, Co. Wicklow",37011
"010 Blessington, Co. Wicklow",38777
"011 Burgage, Co. Wicklow",42528
"012 Donaghmore, Co. Wicklow",39195
"013 Donard, Co. Wicklow",40444
"014 Dunlavin, Co. Wicklow",37003
"015 Eadestown, Co. Wicklow",41249
"016 Hartstown, Co. Wicklow",33607
"017 Hollywood, Co. Wicklow",42408
"018 Humewood, Co. Wicklow",33246
"019 Imael North, Co. Wicklow",43759
"020 Imael South, Co. Wicklow",37983
"021 Kilbride, Co. Wicklow",38086
"022 Lackan, Co. Wicklow",35648
"023 Lugglass, Co. Wicklow",42281
"024 Rathdangan, Co. Wicklow",37376
"025 Rathsallagh, Co. Wicklow",39594
"026 Stratford, Co. Wicklow",36844
"027 Talbotstown, Co. Wicklow",36553
"028 The Grange, Co. Wicklow",30269
"029 Tober, Co. Wicklow",42070
"030 Togher, Co. Wicklow",41993
"031 Tuckmill, Co. Wicklow",33611
"032 Delgany, Co. Wicklow",55279
"033 Enniskerry, Co. Wicklow",47804
"034 Greystones, Co. Wicklow",53666
"035 Kilmacanoge (Part Urban), Co. Wicklow",43068
"036 Powerscourt, Co. Wicklow",55454
"037 Altidore, Co. Wicklow",45170
"038 Arklow Rural, Co. Wicklow",39562
"039 Aughrim, Co. Wicklow",38300
"040 Avoca, Co. Wicklow",38689
"041 Ballinaclash, Co. Wicklow",37533
"042 Ballinacor, Co. Wicklow",29680
"043 Ballinderry, Co. Wicklow",39395
"044 Ballyarthur, Co. Wicklow",42832
"045 Ballycullen, Co. Wicklow",40559
"046 Brockagh, Co. Wicklow",37877
"047 Calary, Co. Wicklow",41705
"048 Cronebane, Co. Wicklow",44660
"049 Dunganstown East, Co. Wicklow",38499
"050 Dunganstown South, Co. Wicklow",43359
"051 Dunganstown West, Co. Wicklow",55553
"052 Ennereilly, Co. Wicklow",44901
"053 Glendalough, Co. Wicklow",50806
"054 Glenealy, Co. Wicklow",43332
"055 Kilbride, Co. Wicklow",46125
"056 Kilcoole, Co. Wicklow",46785
"057 Killiskey, Co. Wicklow",41063
"058 Knockrath, Co. Wicklow",41916
"059 Moneystown, Co. Wicklow",47879
"060 Newcastle Lower, Co. Wicklow",45237
"061 Newcastle Upper, Co. Wicklow",39860
"062 Oldtown, Co. Wicklow",48546
"063 Rathdrum, Co. Wicklow",38309
"064 Togher, Co. Wicklow",46999
"065 Trooperstown, Co. Wicklow",37561
"066 Wicklow Rural, Co. Wicklow",45022
"067 Aghowle, Co. Wicklow",33673
"068 Ballingate, Co. Wicklow",36135
"069 Ballinglen, Co. Wicklow",43712
"070 Ballybeg, Co. Wicklow",..
"071 Carnew, Co. Wicklow",39292
"072 Coolattin, Co. Wicklow",43562
"073 Coolballintaggart, Co. Wicklow",32627
"074 Coolboy, Co. Wicklow",40015
"075 Cronelea, Co. Wicklow",33126
"076 Kilballyowen, Co. Wicklow",39396
"077 Killinure, Co. Wicklow",32106
"078 Kilpipe, Co. Wicklow",45999
"079 Money, Co. Wicklow",..
"080 Rath, Co. Wicklow",39255
"081 Shillelagh, Co. Wicklow",38909
"082 Tinahely, Co. Wicklow",34728
"001 Ennis No. 1 Urban, Co. Clare",38245
"002 Ennis No. 2 Urban, Co. Clare",29809
"003 Ennis No. 3 Urban, Co. Clare",..
"004 Ennis No. 4 Urban, Co. Clare",31833
"005 Kilrush Urban, Co. Clare",35206
"006 Abbey, Co. Clare",39648
"007 Carran, Co. Clare",..
"009 Derreen, Co. Clare",..
"010 Drumcreehy, Co. Clare",45458
"011 Gleninagh, Co. Clare",..
"012 Lisdoonvarna, Co. Clare",31950
"013 Mountelva, Co. Clare",..
999 Noughaval / Castletown,..
"015 Oughtmama, Co. Clare",35070
"016 Rathborney, Co. Clare",..
"018 Boston, Co. Clare",33166
"019 Corrofin, Co. Clare",41296
999 Glenroe / Ballyeighter,29967
"021 Killinaboy, Co. Clare",36937
"022 Kiltoraght, Co. Clare",42067
"023 Muckanagh, Co. Clare",32092
"024 Rath, Co. Clare",27042
"025 Ruan, Co. Clare",40621
"026 Clareabbey (Part Urban), Co. Clare",41604
"027 Clenagh, Co. Clare",33309
"028 Crusheen, Co. Clare",45214
"029 Doora (Part Urban), Co. Clare",48498
"030 Drumline, Co. Clare",46359
"031 Dysert, Co. Clare",33992
"032 Ennis Rural (Part Urban), Co. Clare",43050
"033 Furroor, Co. Clare",39060
"034 Kilcloher, Co. Clare",48219
"035 Killanniv, Co. Clare",42346
"036 Killone, Co. Clare",43695
"037 Kilnamona, Co. Clare",47936
"038 Kilraghtis, Co. Clare",50452
"039 Kinturk, Co. Clare",33864
"040 Newmarket, Co. Clare",32683
"041 Sixmilebridge, Co. Clare",38630
"042 Spancelhill (Part Urban), Co. Clare",52900
"043 Templemaley, Co. Clare",46602
"044 Tomfinlough, Co. Clare",43373
"045 Urlan, Co. Clare",31003
"046 Annagh, Co. Clare",39894
"047 Ballagh, Co. Clare",37211
"048 Ballyea, Co. Clare",43224
"049 Ballysteen, Co. Clare",34515
